"endTime","artistName","trackName","msPlayed"
"2022-05-05 19:18","Future","I'M ON ONE (feat. Drake)",236186
"2022-05-05 19:20","Lil Uzi Vert","New Patek",118762
"2022-05-05 19:22","tana","off the leash! (feat. yvngxchris and Luisss)",139050
"2022-05-05 19:32","Future","PUFFIN ON ZOOTIEZ",142438
"2022-05-05 19:35","Future","PUFFIN ON ZOOTIEZ",172933
"2022-05-05 19:36","KILLY","Killamonjaro",17948
"2022-05-05 19:39","Future","KEEP IT BURNIN (feat. Kanye West)",207213
"2022-05-05 19:40","Kanye West","Saint Pablo",21376
"2022-05-05 19:42","Pusha T","Let The Smokers Shine The Coupes",150276
"2022-05-05 19:46","Sematary","Creepin' Thru Da Woods",204148
"2022-05-05 19:48","Pop Smoke","Got It On Me",164579
"2022-05-05 19:49","Flatbush Zombies","HELL-O",61611
"2022-05-05 19:50","Future","KEEP IT BURNIN (feat. Kanye West)",1300
"2022-05-05 19:50","Future","KEEP IT BURNIN (feat. Kanye West)",440
"2022-05-05 19:50","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",17550
"2022-05-05 19:50","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",8710
"2022-05-05 19:50","Pusha T","Neck & Wrist (feat. JAY-Z & Pharrell Williams)",1680
"2022-05-05 19:50","tana","off the leash! (feat. yvngxchris and Luisss)",1440
"2022-05-05 19:50","Pooh Shiesty","Next Up (feat. Lil Uzi Vert & Gucci Mane)",770
"2022-05-05 19:50","Future","PUFFIN ON ZOOTIEZ",1350
"2022-05-05 19:55","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",133620
"2022-05-05 19:55","Jack Harlow","SUVs (Black on Black)",4340
"2022-05-05 19:55","Moneybagg Yo","Switches & Dracs (feat. Lil Durk & EST Gee)",1710
"2022-05-05 19:57","Pooh Shiesty","Squeeze on Em (feat. 42 Dugg)",4870
"2022-05-05 19:57","tana","off the leash! (feat. yvngxchris and Luisss)",8840
"2022-05-05 19:57","Pooh Shiesty","Switch it Up (feat. G Herbo, No More Heroes)",1550
"2022-05-05 21:38","Moneybagg Yo","Me Vs Me",183571
"2022-05-05 21:40","Moneybagg Yo","All Dat (with Megan Thee Stallion)",103845
"2022-05-05 21:42","Pusha T","Scrape It Off (feat. Lil Uzi Vert & Don Toliver)",152748
"2022-05-05 21:43","Pusha T","Hear Me Clearly (feat. Nigo)",41352
"2022-05-05 21:46","Travis Scott","BUTTERFLY EFFECT",190969
"2022-05-05 21:52","Travis Scott","90210 (feat. Kacy Hill)",339443
